사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2016010900100010,2016년 1월 9일 00시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,보행자,남,29세,경상
2016011500100041,2016년 1월 15일 03시,금요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 정면충돌,신호위반,포장 - 습기,눈,교차로 - 교차로안,승용,남,42세,상해없음,승용,남,45세,상해없음
2016012200100162,2016년 1월 22일 09시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,37세,경상
2016012900100346,2016년 1월 29일 15시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,자전거,여,59세,중상
2016021100100050,2016년 2월 11일 06시,목요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,이륜,남,74세,중상
2016022100100012,2016년 2월 21일 00시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,47세,상해없음,승용,남,56세,경상
2016030500100029,2016년 3월 5일 00시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 습기,비,교차로 - 교차로안,승용,남,52세,상해없음,보행자,남,57세,경상
2016031300100265,2016년 3월 13일 16시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승합,남,44세,경상
2016031600100114,2016년 3월 16일 08시,수요일,경기도 수원시 팔달구 인계동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,이륜,남,19세,부상신고,화물,남,45세,상해없음
2016031800100078,2016년 3월 18일 06시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,1,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,여,55세,상해없음,승용,남,63세,상해없음
2016032400100008,2016년 3월 24일 00시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차량단독 - 주/정차차량 충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,기타불명,,,,
2016040800100669,2016년 4월 8일 23시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,5,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,28세,상해없음,승용,남,34세,경상
2016041600100784,2016년 4월 16일 23시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,포장 - 습기,비,교차로 - 교차로부근,승용,남,51세,기타불명,승용,남,34세,경상
